GDLIN,OBRAT,BLACK,HISPAN,MARRIED,LOANPRC,fit,se.fit,residual.scale,UL,LL,PredictedProb,RACE
Does not meet guidelines,0,1,0,Not Married,75.44244799788136,-0.9542287465460265,0.5005544801066979,1,0.5067141050167432,0.1261633980049374,0.27803518259968074,non-Hispanic Black
Does not meet guidelines,1,1,0,Not Married,75.44244799788136,-0.9846232429419944,0.49173648385096413,1,0.4947952543547878,0.12472500629439356,0.2719753950227728,non-Hispanic Black
Does not meet guidelines,2,1,0,Not Married,75.44244799788136,-1.0150177393379622,0.48301900791668684,1,0.482931513840391,0.1232794039599722,0.26599901997288844,non-Hispanic Black
Does not meet guidelines,3,1,0,Not Married,75.44244799788136,-1.04541223573393,0.4744075936692194,1,0.4711387802380039,0.12182598236466474,0.2601070501521597,non-Hispanic Black
Does not meet guidelines,4,1,0,Not Married,75.44244799788136,-1.0758067321298976,0.4659081221836617,1,0.45943266609841615,0.12036411107356017,0.25430037357269625,non-Hispanic Black
Does not meet guidelines,5,1,0,Not Married,75.44244799788136,-1.1062012285258658,0.45752683218132734,1,0.44782842639895143,0.11889313858301664,0.24857977509314852,non-Hispanic Black
Does not meet guidelines,6,1,0,Not Married,75.44244799788136,-1.1365957249218335,0.4492703378574453,1,0.4363408888920729,0.11741239342930158,0.24294593815804913,non-Hispanic Black
Does not meet guidelines,7,1,0,Not Married,75.44244799788136,-1.1669902213178012,0.4411456463059491,1,0.4249843887436044,0.11592118574795157,0.23739944672575877,non-Hispanic Black
Does not meet guidelines,8,1,0,Not Married,75.44244799788136,-1.1973847177137693,0.433160174178481,1,0.41377270794883586,0.1144188093637912,0.23194078737063564,non-Hispanic Black
Does not meet guidelines,9,1,0,Not Married,75.44244799788136,-1.227779214109737,0.4253217631364028,1,0.402719019914012,0.11290454450027637,0.22657035154493488,non-Hispanic Black
Does not meet guidelines,10,1,0,Not Married,75.44244799788136,-1.2581737105057047,0.41763869356666733,1,0.39183583948488576,0.11137766120520444,0.22128843798592374,non-Hispanic Black
Does not meet guidelines,11,1,0,Not Married,75.44244799788136,-1.2885682069016726,0.4101196959354364,1,0.38113497859609147,0.1098374235973161,0.21609525525376208,non-Hispanic Black
Does not meet guidelines,12,1,0,Not Married,75.44244799788136,-1.3189627032976405,0.40277395904870134,1,0.3706275076081706,0.10828309504419148,0.2109909243858398,non-Hispanic Black
Does not meet guidelines,13,1,0,Not Married,75.44244799788136,-1.3493571996936082,0.3956111343792576,1,0.36032372229634857,0.10671394438519977,0.20597548165347845,non-Hispanic Black
Does not meet guidelines,14,1,0,Not Married,75.44244799788136,-1.379751696089576,0.3886413355079578,1,0.3502331163598471,0.10512925331297086,0.20104888140718866,non-Hispanic Black
Does not meet guidelines,15,1,0,Not Married,75.44244799788136,-1.410146192485544,0.38187513161956876,1,0.3403643592358424,0.10352832502156295,0.19621099899701813,non-Hispanic Black
Does not meet guidelines,16,1,0,Not Married,75.44244799788136,-1.4405406888815118,0.37532353389709633,1,0.3307252789313002,0.10191049421764097,0.19146163375492378,non-Hispanic Black
Does not meet guidelines,17,1,0,Not Married,75.44244799788136,-1.4709351852774795,0.36899797358255865,1,0.32132284953184453,0.10027513857082776,0.1868005120265469,non-Hispanic Black
Does not meet guidelines,18,1,0,Not Married,75.44244799788136,-1.5013296816734474,0.36291027042859,1,0.3121631830123198,0.09862169164915245,0.18222729024026094,non-Hispanic Black
Does not meet guidelines,19,1,0,Not Married,75.44244799788136,-1.5317241780694153,0.3570725902678025,1,0.30325152496115204,0.09694965734345655,0.17774155800188285,non-Hispanic Black
Does not meet guidelines,20,1,0,Not Married,75.44244799788136,-1.562118674465383,0.35149739049109824,1,0.2945922538417925,0.09525862572928422,0.17334284120399343,non-Hispanic Black
Does not meet guidelines,21,1,0,Not Married,75.44244799788136,-1.592513170861351,0.3461973523686065,1,0.2861888834503802,0.09354829024527171,0.16903060513938892,non-Hispanic Black
Does not meet guidelines,22,1,0,Not Married,75.44244799788136,-1.6229076672573188,0.3411852993836378,1,0.278044068289056,0.09181846598335314,0.16480425760878192,non-Hispanic Black
Does not meet guidelines,23,1,0,Not Married,75.44244799788136,-1.6533021636532865,0.33647410109466064,1,0.2701596116573872,0.09006910878948643,0.16066315201347703,non-Hispanic Black
Does not meet guidelines,24,1,0,Not Married,75.44244799788136,-1.6836966600492542,0.3320765625016394,1,0.262536476366527,0.08830033476699813,0.15660659042436373,non-Hispanic Black
Does not meet guidelines,25,1,0,Not Married,75.44244799788136,-1.7140911564452224,0.32800529947218604,1,0.25517479809631366,0.08651243966297352,0.15263382661918817,non-Hispanic Black
Does not meet guidelines,26,1,0,Not Married,75.44244799788136,-1.74448565284119,0.32427260147021303,1,0.24807390153650402,0.08470591750847535,0.14874406908068552,non-Hispanic Black
